team,fifa_points,fm26_strength
Argentina,1885,
France,1870,
Spain,1865,
England,1820,
Brazil,1780,
Portugal,1775,
Netherlands,1760,
Belgium,1740,
Germany,1730,
Croatia,1700,
Morocco,1700,
Colombia,1690,
Uruguay,1680,
Japan,1655,
Switzerland,1645,
USA,1640,
Senegal,1640,
Mexico,1640,
Iran,1620,
Ecuador,1565,
Austria,1565,
Turkey,1560,
Sweden,1560,
South Korea,1580,
Australia,1550,
Norway,1550,
Egypt,1520,
Canada,1520,
Tunisia,1505,
Algeria,1505,
Scotland,1500,
Czechia,1500,
DR Congo,1500,
Cote d'Ivoire,1490,
Paraguay,1480,
Bosnia and Herzegovina,1470,
Ghana,1450,
South Africa,1440,
Uzbekistan,1440,
Panama,1430,
Qatar,1430,
Saudi Arabia,1420,
Jordan,1390,
Iraq,1380,
Cabo Verde,1350,
Curacao,1330,
Haiti,1280,
New Zealand,1230,
